市町村,こども食堂の名称,施設名,所在地,開催日,時間,主な対象者,参加費用,担当者名,電話番号,メールアドレス,その他,lat,long
千葉市,花園みんなのカフェTOMO,オープンルームTOMO,千葉市花見川区花園2-14-4,"毎週火曜日
毎月第1土曜日","火曜日14:00?17:00
土曜日11:00?14:00",,"大人300円
子ども100円
（火曜日のおむすび無料）",森田,090-6485-6900,"hanatomo.cafe2021@
gmail.com",,,
千葉市,畑町子ども食堂,畑コミュニティセンター,千葉市花見川区畑町1336-2,毎月第３日曜日,12:00?13:00,,"中学生以下 無料
大人 弁当300円",こもだ,090-5537-2837,,,,
千葉市,花見川子ども食堂,レンタルスペースLDK＋,千葉市花見川区花見川2-42-101,第４日曜日,11：30?15：00,,"学生・子ども 100円
大人 200円
（大人のみの参加はご遠慮頂いています）",鈴木,090-4188-3644,,,,
千葉市,すぽっと幕張こども食堂,すぽっと幕張,千葉市花見川区幕張町5-408-54,毎月第4土曜日,11：00～14：00,,"中学生まで
無料
高校生以上
300円",宮田,090-8080-3951,,,,
千葉市,花園地区子ども食堂,花園公民館,"千葉市花見川区花園３丁目１２
番８号",毎月第４日曜日,10:30～12:00,,"小学生以下100円
大人200円",－,－,,,,
千葉市,まんてんこども食堂,"幕張コミュニティセンター
アストロベースキャンプ保育園","千葉市花見川区幕張町3?7730?4
（幕張コミュニティセンター）
千葉市稲毛区稲毛東4?7?１７
（アストロベースキャンプ保育
園）","毎月第４日曜日
偶数月第２日曜日
（アストロベースキャンプ保育
園）",,,"こども無料
保護者300円",坂本,090?2641?0316,,,,
千葉市,こひつじ食堂,稲毛こひつじ園,千葉市稲毛区萩台町380番地2,毎月第１金曜日,16：30～18：30,,"子ども 300円
大人 500円",勝山,043-207-5599,,,,
千葉市,地域食堂 とどろき,自然食 じねん,千葉市稲毛区轟町1-7-25,毎月第4金曜日,17：30～20：00,,"中学生以下 無料※
大人 500円",西垣,"043-306-2181
(電話は平日12時?15
時)",jinenfood＠gmail.com,,,
千葉市,とどろき食堂／とどろきカフェ,千葉市営住宅轟町第一団地集会室,千葉市稲毛区轟町2丁目8番1号,毎月土曜日,"・とどろき食堂
12：00～13：00
・とどろきカフェ
10：00～14：00",,"・とどろき食堂
子ども 無料
大人 500円
・とどろきカフェ
子ども 無料
大人 300円",青木,"090-8846-1572
043-254-3296",,,,
千葉市,子ども食堂「ちーあい食堂」,千葉愛の教会「子どもの家」,"千葉市稲毛区天台２丁目３番１
４号",毎月１回土曜日,11:00～14:00,,無料,後藤,043-386-4352,,,,
千葉市,TSUGA no わ こども食堂,TSUGA no わ,"千葉市若葉区西都賀3丁目17番
11号",毎月第4金曜日,15:00～19:00,,"高校生以下 100円または地域通貨 300P
大人 500円
ボランティア 300円",田中,,treehouse@fd5.so-net.ne.jp,,,
千葉市,こども食堂 縁,,"千葉市若葉区千城台南1丁目3番
3号",毎週火曜・木曜日,17:00～19:00,,"子ども 無料
大人 お気持ち",田野,090-1816-1272,,,,
千葉市,わかまつのWa,貴船神社境内若松南部自治会館,千葉市若葉区若松町2115,毎月第2・4土曜日,10:00～14:00,,"子ども 100円
または地域通貨 300P
大人 500円",佐藤,090-5509-1921,,,,
千葉市,千葉こども宅食プロジェクト,,千葉市若葉区都賀4-8-21 1F,"事務所オープン日
毎週水曜日
第２土曜日","水曜日10:00～18:00
土曜日10:00～16:00",,無料,増淵,070-8410-5104,npo.bright@gmail.com,,,
千葉市,子ども食堂「トミオのわ」,,千葉市若葉区高品町250-1,毎月最後の土曜日,（お昼時）,,"中学生まで無料
（親御様500円）",大澤,0120-382-663,tomionowa@tomio.co.jp,"対象地域：若葉区限定
参加・詳しい詳細はこちら
（外部リンク）（*https://lin.ee/ZOeVBtW
<https://lin.ee/ZOeVBtW>*）",,
千葉市,ラヴィーレみつわ台,ラヴィーレみつわ台,千葉市若葉区みつわ台2-34-15,毎月第2土曜日,12:30～,,"小学生以下 無料
保護者 300円","髙橋
羽深",043-252-4165,,"開催日時はイベント内容によって変更の場合
あり",,
千葉市,マルちゃん食堂,,千葉市若葉区小倉台5-21-1,毎週月・水・金,16:00～18:30,,"18歳以下 無料
大人 500円",石﨑,043-312-0092,,,,
千葉市,子ども食堂ひまわり,株式会社deerhouse,千葉市若葉区原町901-2,"月に1回
日曜日",10：00～,,"野菜や食品によって無料
もしくは1つ100円",鹿倉,090-1251-6272,eventplan.himawari@gmail.com,,,
千葉市,かがやきっ子食堂,"おゆみ野キリスト教会誉田チャペ
ル1F",千葉市緑区誉田町2丁目2番126,毎月第3水曜日,17:30～19:00,,一律150円,米本,080-7471-7674,kagayakikko_shokudou@yahoo.co.jp,,,
千葉市,あすみこども食堂,土気あすみが丘プラザ,千葉市緑区あすみが丘7丁目2-4,毎月第2金曜日,17：00～19:00,,"子ども 100円
大人 300円",判治,043-294-1895,,,,
千葉市,まんぷく食堂,鎌取コミュニティセンター,"千葉市緑区おゆみ野3丁目15番2
号",毎月第2土曜日,11:00～,,"子ども 1～100円※
大人（子ども同伴） 350円
大人 500円",藤城,080-1091-9830,,,,
千葉市,たんぽぽ,市営おゆみ野第1団地集会所,千葉市緑区おゆみ野5丁目28,毎月第3土曜日,12:00～14:00,,"子ども 100円
親 100円
高齢者 200円",信太,090-1507-6679,,,,
千葉市,ピッピこども食堂,誉田公民館,"千葉市緑区誉田町１－７８９－
４９",毎月第3金曜日,15：00～18：00,,どなたでも100円,持田,090-2334-1898,,,,
千葉市,いちご食堂,"大多喜ガスショールームBeE
（ビー）","千葉市緑区おゆみ野３－１２－
１",毎月第２日曜日,"11:30～13:00
※変更の可能性あり",,"子ども（小学生以下）100円
大人300円",野口,080-4955-0640,,,,
千葉市,もぐもぐすぺーすLink,あすみが丘プラザ,千葉市緑区あすみが丘7丁目2-4,月1～2回火曜日,16：00～20：00,,"無料
小学生以上大学生まで",関谷,,,公式LINEアカウントID 362dsqub,,
千葉市,地域食堂まさご,生活クラブ虹の街デポー真砂,"千葉市美浜区真砂5丁目21番12
号",毎月第1土曜日,11:30～12:30,,"子ども 100円
大人 300円",永田,043-278-7629,chiba.block@s-club.coop,,,
